Index,Timestamp,Fp1,Fp2,F3,F4,T5,T6,O1,O2,F7,F8,C3,C4,T3,T4,P3,P4
49.0,0.19140625,-310101.486457,-3609.180881,-640511.589111,993775.188181,-765318.008103,-907119.978323,-883125.470057,-1084230.015782,-3747812.479474,-3203377.092287,-3210494.066536,-2939375.810549,-2924408.54602,-419427.802495,-3084232.817201,-2607953.978533
50.0,0.1953125,-310102.022898,-3446.102553,-640568.451949,993826.6866,-765350.731057,-907149.482626,-883281.57464,-1084272.931131,-3747826.426962,-3203411.424567,-3210525.180164,-2939392.440247,-2924652.090627,-419297.447121,-3084254.811317,-2607977.581975
51.0,0.19921875,-310057.498223,-3431.618623,-640541.629856,994114.755883,-765352.876824,-907145.727533,-883188.233756,-1084279.368434,-3747809.260822,-3203403.377939,-3210512.842001,-2939372.055456,-2924466.481741,-418968.071815,-3084246.764689,-2607971.144673
52.0,0.203125,-310060.180433,-3435.373716,-640505.151809,993942.558043,-765348.048848,-907145.191091,-883079.336057,-1084275.613341,-3747806.042171,-3203374.410078,-3210477.97328,-2939353.816432,-2924227.76511,-418840.935092,-3084204.922224,-2607950.759882
53.0,0.20703125,-310118.116154,-3578.067252,-640552.895135,993774.651739,-765345.90308,-907153.237719,-883213.446523,-1084275.076899,-3747804.432846,-3203352.952403,-3210460.270698,-2939348.452014,-2924430.003694,-419345.190447,-3084169.51706,-2607935.73951
54.0,0.2109375,-310115.433945,-3300.190365,-640618.341043,993868.529066,-765334.637801,-907140.363114,-883389.935898,-1084273.467573,-3747784.584497,-3203344.369333,-3210450.078303,-2939325.385013,-2924725.046721,-419334.46161,-3084148.059386,-2607916.964044
55.0,0.21484375,-310048.378712,-3102.243316,-640610.830857,993950.604671,-765337.32001,-907132.316486,-883333.609502,-1084283.659969,-3747772.782775,-3203348.124426,-3210446.859651,-2939312.510408,-2924608.638836,-419055.511839,-3084151.814479,-2607918.036928
56.0,0.21875,-310019.947293,-3369.927808,-640568.451949,993763.38646,-765367.360755,-907164.502998,-883190.915965,-1084316.382923,-3747795.313334,-3203352.952403,-3210452.760512,-2939332.358758,-2924320.569553,-419029.226187,-3084167.371293,-2607937.348835
57.0,0.22265625,-310085.929642,-3599.524927,-640603.857112,993562.22076,-765366.824313,-907172.549626,-883282.647524,-1084316.919365,-3747790.485357,-3203322.911659,-3210429.693512,-2939322.702804,-2924439.659648,-419237.365632,-3084140.5492,-2607915.89116
58.0,0.2265625,-310099.340689,-3387.093948,-640670.375904,993612.646295,-765367.360755,-907170.403858,-883473.620829,-1084321.210899,-3747780.829403,-3203320.765891,-3210428.620628,-2939311.973967,-2924752.941698,-419245.948702,-3084129.28392,-2607910.526742
59.0,0.23046875,-310037.649874,-3117.263689,-640680.568299,993649.660784,-765362.532778,-907158.602137,-883453.236038,-1084331.403295,-3747763.126822,-3203319.693007,-3210424.329093,-2939293.734943,-2924708.953465,-418962.170954,-3084127.138153,-2607903.552998
60.0,0.234375,-309994.198083,-3324.330249,-640633.897857,993597.089481,-765378.089592,-907178.450486,-883290.15771,-1084357.688946,-3747772.246334,-3203315.937914,-3210420.037558,-2939302.318013,-2924390.306996,-418875.803813,-3084137.330548,-2607914.281835
61.0,0.23828125,-310061.789758,-3603.28002,-640656.964857,993566.512295,-765389.354871,-907202.59037,-883334.145943,-1084371.099993,-3747787.266706,-3203303.06331,-3210410.918046,-2939307.14599,-2924424.102834,-419066.777118,-3084127.138153,-2607913.208951
62.0,0.2421875,-310085.929642,-3463.268693,-640726.165858,993573.486039,-765385.063336,-907197.762394,-883532.092992,-1084370.027109,-3747774.928543,-3203291.79803,-3210399.116325,-2939290.516292,-2924734.166233,-419137.051003,-3084102.998269,-2607894.433486
63.0,0.24609375,-310034.967665,-3335.595529,-640746.014207,993716.179575,-765382.381127,-907185.960673,-883563.206621,-1084373.245761,-3747754.00731,-3203292.334472,-3210394.82479,-2939273.350152,-2924758.842559,-418838.789325,-3084100.852501,-2607887.459742
64.0,0.25,-309994.198083,-3435.373716,-640689.687811,993612.109853,-765397.401499,-907200.981045,-883398.518967,-1084390.948342,-3747760.981054,-3203289.652263,-3210384.632395,-2939269.058617,-2924418.738415,-418457.915599,-3084089.587222,-2607890.678393
65.0,0.25390625,-310067.154177,-3528.178159,-640457.408483,993391.095804,-763463.528569,-905289.638673,-881848.201972,-1082471.0229,-3745830.863217,-3201313.936867,-3208413.208534,-2937311.045803,-2923032.572631,-418867.757185,-3082111.189617,-2605944.4673
66.0,0.2578125,-310222.722318,-3497.06453,-639651.136357,993350.326222,-757707.507337,-899628.567651,-877199.933195,-1076761.672111,-3740114.002241,-3195491.933285,-3202652.895767,-2931540.004199,-2919126.739398,-419147.243398,-3076387.891339,-2600194.346928
67.0,0.26171875,-310152.984876,-3098.488223,-640520.708623,993620.692923,-764638.336258,-906529.892269,-882544.503515,-1083647.976357,-3747043.221836,-3202465.141113,-3209663.654526,-2938541.107004,-2923808.804012,-418909.599651,-3083337.495725,-2607110.155476
68.0,0.265625,-310048.378712,-3138.721363,-640593.128275,993621.229365,-765440.853291,-907294.32193,-882992.968916,-1084458.003576,-3747814.625241,-3203271.949681,-3210432.912163,-2939310.901083,-2924006.214619,-418732.573835,-3084109.435571,-2607916.964044
